@RELATION	yazar

@ATTRIBUTE	oz0	REAL
@ATTRIBUTE	oz1	REAL
@ATTRIBUTE	oz2	REAL
@ATTRIBUTE	oz3	REAL
@ATTRIBUTE	oz4	REAL
@ATTRIBUTE	oz5	REAL
@ATTRIBUTE	oz6	REAL
@ATTRIBUTE	oz7	REAL
@ATTRIBUTE	oz8	REAL
@ATTRIBUTE	oz9	REAL
@ATTRIBUTE	oz10	{1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,4,5,6,7,8,9,}

@DATA
1,27,4,1,835,23,1,1,33,860,1
1,22,10,1,821,38,1,1,34,842,1
1,32,3,1,722,28,2,1,37,747,1
1,33,1,2,859,37,1,2,37,881,1
1,31,6,2,843,43,1,1,40,870,1
1,27,3,1,843,21,1,1,32,866,1
1,38,6,5,770,45,2,1,50,800,1
1,38,3,1,833,24,1,2,43,862,1
1,28,6,2,845,33,1,1,37,863,1
1,25,3,2,843,23,1,1,31,864,1
1,41,10,3,855,31,3,3,55,880,1
1,35,5,2,832,44,4,1,43,860,1
1,23,14,2,862,29,1,1,40,886,1
1,26,3,2,848,27,1,1,32,879,1
1,31,4,1,842,38,1,1,37,867,1
1,26,12,1,799,35,1,1,40,832,1
1,33,3,5,840,36,2,1,42,878,1
1,30,2,2,804,37,1,1,35,832,1
1,31,9,3,843,32,2,1,44,877,1
1,25,5,1,828,24,2,1,32,844,1
1,35,4,2,858,34,1,1,42,886,1
1,46,3,2,861,69,1,3,52,896,1
1,39,7,3,834,32,2,3,50,881,1
1,30,8,1,841,30,1,1,40,876,1
1,23,5,3,840,31,1,1,32,870,1
1,29,3,1,744,38,1,2,34,772,1
1,30,4,1,845,31,1,1,36,864,1
1,30,10,1,850,44,1,1,42,878,1
1,35,6,4,965,34,2,1,46,999,1
1,33,6,4,826,52,1,1,44,878,1
1,20,10,1,812,33,1,1,32,844,1
1,38,3,1,832,40,1,1,43,858,1
1,34,1,2,822,17,2,1,38,846,1
1,30,3,1,813,32,1,1,35,839,1
1,36,3,2,806,38,1,1,42,841,1
1,32,4,4,839,27,1,1,41,873,1
1,33,5,2,828,33,2,1,41,859,1
1,35,3,3,832,44,1,3,42,858,1
1,32,9,1,850,27,2,1,43,878,1
1,27,6,1,813,37,1,1,35,844,1
1,34,2,3,797,39,1,1,40,843,1
1,33,2,1,818,46,2,2,37,843,1
1,30,3,3,787,41,2,1,37,816,1
1,34,6,2,817,39,1,1,43,856,1
1,30,6,3,788,33,1,1,40,828,1
1,29,2,1,795,31,1,1,33,818,1
1,34,6,4,1053,55,2,1,45,1085,1
1,42,5,2,1027,44,1,1,50,1068,1
1,33,4,5,1026,48,3,1,43,1059,1
1,38,5,2,1048,40,1,1,46,1078,1
2,86,3,1,1603,39,2,3,92,1627,10
1,86,2,1,1600,54,1,4,90,1622,10
1,78,1,1,1585,50,1,1,81,1597,10
1,77,2,1,1587,47,2,4,81,1616,10
2,86,4,1,1603,50,1,2,93,1630,10
1,94,2,1,1725,63,1,4,98,1754,10
1,77,3,1,1591,46,1,5,82,1617,10
1,79,3,1,1545,50,2,3,84,1587,10
1,82,3,1,1542,45,2,3,87,1563,10
1,77,5,1,1637,52,1,1,84,1667,10
1,85,6,1,1598,45,3,2,93,1626,10
1,76,2,2,1575,42,1,4,81,1598,10
1,88,1,1,1628,50,1,3,91,1647,10
1,80,3,1,1604,34,2,1,85,1622,10
1,84,3,1,1654,49,1,2,89,1672,10
1,91,1,1,1728,60,2,1,94,1747,10
1,78,1,3,1581,39,1,5,83,1609,10
1,75,4,1,1584,65,1,5,81,1605,10
1,81,2,1,1668,48,1,2,85,1700,10
1,89,3,1,1606,59,2,4,94,1620,10
1,79,5,1,1676,59,2,2,86,1699,10
1,85,8,1,1660,43,1,7,95,1683,10
1,80,3,1,1635,34,2,6,85,1665,10
1,89,2,1,1673,38,1,4,93,1721,10
1,77,1,1,1502,58,2,3,80,1522,10
1,88,2,1,1694,38,2,2,92,1718,10
1,80,2,1,1596,45,1,3,84,1644,10
1,80,1,1,1625,55,3,2,83,1644,10
1,92,2,1,1780,56,1,4,96,1828,10
1,81,1,1,1688,46,1,6,84,1738,10
2,102,3,1,1772,61,1,8,108,1822,10
1,82,4,1,1588,51,1,6,88,1624,10
1,82,5,1,1639,55,2,5,89,1663,10
1,77,2,1,1567,47,2,2,81,1592,10
1,102,4,1,1746,42,1,7,108,1776,10
1,87,2,1,1778,69,1,7,91,1807,10
1,75,5,1,1531,46,3,5,82,1565,10
1,86,2,1,1666,48,1,5,90,1698,10
1,76,10,1,1588,53,1,6,88,1617,10
1,95,9,1,1598,44,1,3,106,1621,10
1,84,2,1,1606,56,2,2,88,1639,10
1,79,2,1,1591,69,2,3,83,1624,10
1,82,1,2,1562,53,1,4,86,1603,10
1,98,4,1,1772,50,1,4,104,1805,10
1,100,2,1,1880,62,2,4,104,1919,10
1,90,3,1,1693,52,1,6,95,1728,10
1,82,4,1,1664,58,2,6,88,1709,10
1,96,3,1,1701,49,4,8,101,1734,10
1,93,3,1,1636,43,1,4,98,1670,10
1,81,4,1,1602,37,1,5,87,1648,10
1,28,1,1,555,31,1,2,31,573,11
1,22,1,1,375,17,1,2,25,389,11
1,15,1,1,368,19,1,1,18,380,11
1,20,4,1,370,11,1,2,26,371,11
1,28,1,1,540,23,1,3,31,544,11
1,32,1,1,692,29,1,6,35,730,11
1,29,1,1,552,22,1,6,32,572,11
1,18,1,1,312,18,1,2,21,328,11
1,19,1,1,353,12,1,4,22,353,11
1,33,1,1,672,37,1,2,36,677,11
1,41,2,1,913,53,2,1,45,928,11
1,56,5,1,1274,88,2,3,63,1314,11
1,11,1,1,214,13,1,2,14,217,11
1,39,1,1,793,32,1,5,42,810,11
1,89,2,2,1780,112,1,5,94,1772,11
1,14,1,1,255,21,1,3,17,264,11
1,17,1,1,333,13,1,1,20,346,11
1,14,1,1,244,16,1,2,17,255,11
1,11,1,1,232,17,1,2,14,234,11
1,18,1,1,310,18,1,2,21,327,11
1,17,1,1,360,16,1,3,20,360,11
1,24,1,1,505,31,1,3,27,515,11
1,34,1,1,495,18,1,2,37,512,11
1,35,1,1,750,34,1,1,38,787,11
1,24,2,1,623,22,1,1,28,640,11
1,18,2,1,369,12,1,3,22,382,11
1,13,1,1,315,11,1,3,16,321,11
1,25,1,1,572,29,1,5,28,591,11
1,17,1,1,382,18,2,4,20,400,11
1,24,1,1,546,29,1,3,27,546,11
1,26,1,1,549,45,1,5,29,551,11
1,18,1,1,322,16,1,1,21,337,11
1,14,1,1,314,11,1,3,17,318,11
1,14,1,1,261,10,1,2,17,265,11
1,15,1,1,333,16,1,2,18,347,11
1,18,1,2,368,11,1,2,22,377,11
1,29,1,1,692,34,1,2,32,719,11
1,25,1,1,389,15,1,3,28,398,11
1,18,1,1,388,25,1,3,21,408,11
1,16,1,1,307,13,1,2,19,306,11
1,26,1,1,510,25,1,4,29,515,11
1,23,1,1,539,27,1,4,26,545,11
1,22,1,1,461,22,1,3,25,466,11
1,24,1,1,540,40,1,3,27,547,11
1,24,1,1,510,26,1,3,27,529,11
1,18,1,1,421,15,1,2,21,445,11
1,37,1,1,728,36,1,2,40,768,11
1,35,1,1,783,36,1,4,38,788,11
1,13,1,1,284,11,1,2,16,285,11
1,35,1,1,559,37,2,4,38,561,11
1,34,4,1,879,43,1,1,40,896,12
1,28,1,1,558,24,1,2,31,582,12
1,31,4,1,710,43,1,1,37,740,12
1,18,1,1,396,14,1,1,21,406,12
1,35,1,1,878,38,1,1,38,896,12
1,34,1,1,751,35,1,1,37,773,12
1,16,1,1,383,19,1,1,19,396,12
1,39,2,1,868,43,1,1,43,887,12
2,37,1,1,675,24,1,1,41,693,12
1,24,1,1,674,32,1,1,27,692,12
1,49,7,1,992,38,2,1,58,1013,12
1,30,1,1,717,34,1,1,33,743,12
1,47,1,1,1105,47,1,2,50,1134,12
1,40,4,1,1013,55,1,1,46,1039,12
1,38,2,1,890,37,3,1,42,924,12
1,32,2,1,888,41,1,1,36,904,12
1,18,1,1,485,15,1,1,21,495,12
1,24,1,1,622,36,1,1,27,642,12
1,28,1,1,674,33,1,1,31,701,12
1,37,2,1,891,40,1,5,41,909,12
1,39,1,1,1042,51,1,1,42,1072,12
1,23,1,1,623,30,1,1,26,635,12
1,34,1,1,731,37,1,1,37,752,12
1,39,2,1,899,38,1,1,43,924,12
1,27,1,1,760,41,1,1,30,779,12
1,31,2,1,797,35,1,2,35,824,12
1,23,1,1,717,32,1,1,26,736,12
1,27,2,1,718,34,1,1,31,737,12
1,45,1,1,1075,59,1,1,48,1091,12
1,20,1,1,618,28,1,1,23,629,12
1,34,3,1,956,46,1,1,39,974,12
1,26,1,1,753,32,1,1,29,761,12
1,27,3,1,752,38,1,1,32,771,12
1,34,1,1,881,29,2,1,37,908,12
1,58,2,1,1303,80,1,3,62,1323,12
1,35,5,1,961,53,3,2,42,971,12
1,40,3,1,899,41,1,2,45,917,12
1,47,1,1,990,39,1,2,50,1018,12
1,49,4,1,895,39,1,1,55,921,12
1,28,1,1,789,34,2,1,31,803,12
1,80,3,1,1490,79,1,1,85,1537,12
1,39,3,1,968,38,1,1,44,981,12
1,32,1,1,828,45,2,1,35,852,12
1,28,2,1,596,19,2,1,32,612,12
1,60,3,1,1189,57,4,5,65,1216,12
1,39,3,1,958,52,3,1,44,970,12
1,73,7,1,1975,81,5,1,82,2008,12
1,37,1,1,883,28,1,2,40,906,12
1,28,1,1,661,32,1,1,31,691,12
2,61,1,1,1369,63,3,2,65,1404,12
1,36,7,1,900,59,3,2,45,939,13
1,29,5,1,874,84,1,1,36,896,13
1,30,2,1,780,53,2,1,34,807,13
1,35,3,1,917,53,3,2,40,948,13
1,24,2,1,548,29,1,1,28,569,13
1,45,2,1,1032,60,1,2,49,1076,13
1,22,4,1,600,55,2,1,28,617,13
1,22,4,1,600,55,2,1,28,617,13
1,44,1,1,1041,70,1,1,47,1064,13
1,44,3,1,936,64,3,1,49,950,13
1,44,3,1,936,64,3,1,49,950,13
1,21,2,1,617,45,1,2,25,632,13
2,46,1,1,1039,71,4,3,50,1067,13
1,43,8,1,1025,75,2,2,53,1052,13
1,31,1,1,790,45,4,4,34,811,13
2,45,2,1,1092,88,3,4,50,1121,13
1,48,3,1,1033,80,2,2,53,1064,13
1,42,3,1,1053,63,1,2,47,1076,13
1,30,6,1,836,58,1,2,38,856,13
2,45,1,1,962,75,1,1,49,997,13
1,38,4,1,988,65,3,4,44,1024,13
1,38,3,1,713,43,1,3,43,739,13
1,42,5,1,1000,60,1,1,49,1015,13
2,38,3,1,891,49,3,5,44,920,13
1,27,7,1,898,54,1,2,36,931,13
1,40,4,1,863,51,3,2,46,885,13
3,34,1,1,653,41,2,2,39,676,13
1,35,5,1,801,54,1,1,42,837,13
1,32,1,1,704,35,2,2,35,722,13
1,36,3,1,1000,67,6,2,41,1038,13
1,24,2,1,676,48,2,1,28,696,13
1,31,8,1,884,51,1,2,41,909,13
1,30,3,1,906,53,2,1,35,935,13
1,27,1,1,661,35,3,1,30,680,13
1,28,3,1,744,42,2,1,33,770,13
1,37,3,1,889,55,4,1,42,930,13
1,34,5,1,777,51,1,4,41,801,13
1,47,1,1,1101,68,6,3,50,1129,13
1,47,5,1,1073,61,4,2,54,1100,13
1,34,1,1,960,52,1,2,37,987,13
1,45,2,1,976,50,1,1,49,1001,13
1,36,1,1,828,42,3,3,39,855,13
1,42,3,1,1103,65,1,1,47,1134,13
1,29,7,8,705,46,2,1,45,727,13
1,23,7,8,545,39,1,3,39,564,13
2,33,4,1,630,28,1,2,40,656,13
1,38,2,1,748,41,2,3,42,777,13
1,27,1,1,647,46,2,2,30,670,13
1,57,1,1,1084,68,1,1,60,1114,13
1,39,2,1,819,47,2,2,43,840,13
1,27,2,1,517,23,1,2,31,538,14
1,22,5,1,571,32,1,1,29,589,14
1,32,3,1,561,30,1,1,37,577,14
2,38,3,1,749,72,1,2,44,765,14
1,28,1,1,548,35,1,2,31,566,14
1,25,5,2,576,32,1,1,33,591,14
1,49,7,2,758,39,1,4,59,797,14
1,50,3,1,1005,50,1,4,55,1048,14
1,27,1,1,505,29,1,2,30,517,14
1,36,2,1,665,47,1,1,40,688,14
1,26,4,1,579,41,3,3,32,598,14
1,53,1,1,835,40,4,5,56,873,14
3,59,2,4,618,20,1,2,68,650,14
1,56,6,1,929,38,2,4,64,967,14
2,39,3,1,537,26,1,1,45,569,14
1,45,2,1,671,33,1,5,49,691,14
1,64,3,1,1118,51,2,6,69,1172,14
1,32,2,4,534,36,2,1,39,545,14
1,27,4,1,665,33,2,2,33,689,14
3,37,1,1,557,41,2,3,42,575,14
1,21,2,1,383,26,1,2,25,397,14
1,44,1,1,665,43,2,3,47,690,14
1,42,3,1,520,36,1,2,47,540,14
1,34,1,1,574,24,3,3,37,581,14
1,44,3,1,780,33,2,5,49,794,14
6,53,4,2,570,21,1,5,65,598,14
1,23,2,1,607,38,2,3,27,619,14
1,34,4,1,520,31,1,2,40,530,14
1,42,1,1,605,22,2,1,45,620,14
1,64,1,1,1238,62,4,5,67,1267,14
1,19,2,1,372,14,4,1,23,385,14
1,45,2,1,759,39,3,5,49,777,14
1,19,3,1,294,17,1,1,24,303,14
1,58,4,1,818,48,3,5,64,853,14
1,38,2,1,618,17,1,2,42,636,14
1,39,1,3,605,22,3,3,44,621,14
1,15,3,1,344,23,2,2,20,352,14
1,60,1,2,880,31,1,5,64,908,14
1,42,5,1,696,42,1,1,49,725,14
1,34,2,1,661,34,3,4,38,683,14
1,31,1,1,552,43,1,2,34,578,14
1,25,3,1,505,28,1,1,30,518,14
1,31,2,1,542,20,1,2,35,564,14
1,36,1,1,547,31,1,2,39,568,14
1,40,1,1,553,37,1,3,43,567,14
1,34,4,1,520,31,1,2,40,530,14
1,23,2,1,607,38,2,3,27,619,14
6,53,4,2,570,21,1,5,65,598,14
1,44,3,1,780,33,2,5,49,794,14
1,110,2,1,1452,86,1,3,114,1518,14
1,47,4,1,853,67,2,4,53,884,15
1,50,2,2,875,66,1,1,55,898,15
1,31,1,1,600,42,1,4,34,624,15
1,43,2,1,825,65,2,1,47,851,15
1,37,2,1,860,67,1,4,41,876,15
1,48,3,1,870,74,1,2,53,913,15
1,65,2,1,998,65,1,2,69,1022,15
1,48,2,1,845,49,1,2,52,878,15
1,47,3,1,913,71,2,3,52,934,15
1,46,1,1,814,53,1,3,49,842,15
1,54,3,1,901,64,1,1,59,938,15
1,46,9,1,915,58,1,4,57,950,15
1,42,3,1,836,54,1,1,47,851,15
1,43,3,1,868,68,1,2,48,894,15
1,41,2,2,822,62,1,2,46,834,15
1,43,5,1,863,51,1,1,50,875,15
1,45,2,1,827,49,1,1,49,855,15
1,90,1,1,855,83,6,2,93,926,15
1,43,3,1,861,54,1,1,48,881,15
